number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1819,6-23-2018,Speech to Nevada Republican Party,"""Obamacare is on its last legs.""","Trump did repeal a central part of Obamacare: the ""individual mandate,"" a requirement that Americans obtain health insurance or pay a financial penalty. But this does not mean Obamcare more broadly is on its last legs: its other components remain. Trump did not eliminate Obamacare's expansion of the Medicaid insurance program for low-income people, the federal and state Obamacare marketplaces that allow other uninsured people to buy insurance, and the subsidies that help many of them make the purchases. Nor did he touch various Obamacare rules for the insurance market, like its prohibition on insurers denying coverage to people with pre-existing conditions.",Obamacare dead,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Health care,Exaggeration,Barack Obama,,Speeches,,,,
1818,6-23-2018,Speech to Nevada Republican Party,"""We're going to have a wall. We've already started it. We've already started it. You know, we started it in San Diego. We're going to have the wall, and we started it. We have $1.6 billion."" And: ""We're getting the wall built. And we're going now for our second portion.""","Construction on Trump's border wall has not started. When he has made this claim in the past, Trump has appeared to be referring to a project in which a 2.25-mile stretch of existing wall in California is being replaced by a taller wall. That project was proposed in 2009, and the Los Angeles Times reported that Border Patrol spokesperson Jonathan Pacheco told reporters in March: ""First and foremost, this isn't Trump's wall. This isn't the infrastructure that Trump is trying to bring in. ... This new wall replacement has absolutely nothing to do with the prototypes that were shown over in the San Diego area."" The $1.6 billion Congress allocated to border projects in 2018 is not for the type of giant concrete wall Trump has proposed: spending on that kind of wall is expressly prohibited in the legislation, and much of the congressional allocation is for replacement and reinforcement projects rather than new construction.",We started building wall,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Immigration,,,,Speeches,,,,
1817,6-23-2018,Speech to Nevada Republican Party,"""They want to hire now 5,000 more judges so that a person puts the toe on the land and we have to go to trial.""","At the time Trump spoke, there was no mainstream proposal to hire 5,000 more immigration judges. Congress had allocated money for 484 immigration judges; fewer than 400 were actually in place. Republican Texas Sen. Ted Cruz was proposing to hire 375 more, while other Republican senators were proposing to hire 225 more.",Thousands of immigration judges,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Immigration,Exaggeration,,,Speeches,,,,
1816,6-23-2018,Speech to Nevada Republican Party,"""Our immigration laws are a laughingstock all over the world. We're the only people: people walk in, they put a foot in, uh, 'Please, would you like to register.' Other countries they say get the hell out of there. They do that. They have to do that.""",The U.S. is not the only country that allows people to claim asylum and signs them up for legal proceedings rather than immediately deporting them.,No other country immigration judges,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Immigration,,,,Speeches,,,,
1815,6-23-2018,Speech to Nevada Republican Party,"""You look at MS-13. We take them out of this country by the thousands.""","""By the thousands"" is an exaggeration; it is more like ""by the hundreds,"" or ""by the dozens."" The acting director of Immigration and Customs Enforcement, Thomas Homan, said in December that ""a renewed focus on ID'ing & dismantling the ultra-violent MS-13 gang led to nearly 800 arrests in (fiscal year) 2017, for an 83 per cent increase over last year."" That figure is disputed, as some of the people arrested may not be actual members of the gang. Even if they are, though, that is far from ""thousands."" In November, Attorney General Jeff Sessions claimed the U.S. had ""worked with our partners in Central America to arrest and charge some 4,000 MS-13 members."" But those additional arrests were made abroad, so the people arrested were not ""removed.""",MS-13 thousands,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Immigration,Crime,Exaggeration,MS-13,Speeches,,,,
1814,6-23-2018,Speech to Nevada Republican Party,"""After years of stagnation and even going down -- people were making more money 20 years ago than they would make two years ago. And after years of stagnation, wages are rising again.""","Wages have been rising since 2014. In May, the month before Trump spoke, average hourly earnings rose by 2.7 per cent, the same as in Obama's last month in office, December 2016. ",Wages haven't increased,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Economy,Jobs,,,Speeches,,,,
1813,6-23-2018,Speech to Nevada Republican Party,"""Since Election Day, we've created -- and this is hard to believe because nobody -- the news back there -- fake news -- if I would have said this during the campaign, we've created 3.4 million new jobs, since Election Day, 3.4. If I would have said that during the campaign prior to the election without the numbers they would have said you have to be kidding.""","It is not true that the media would have accused him of exaggerating if he said 3.4 million jobs would be created over this period (November 2016 through May 2018). That is a 19-month period. The number of jobs created over the previous 19 months, under Obama, was 4.1 million.",2.4 million jobs unthinkable,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Jobs,Economy,Media,,Speeches,,,,
1812,6-23-2018,Speech to Nevada Republican Party,"""They (the European Union) don't want our farm products...if you're not going to take our farmers' products -- we make the greatest products in so many different ways, and they don't want 'em.""","While U.S. farmers do face some trade barriers in selling into the European Union, it is a gross exaggeration to say the EU simply ""doesn't want"" U.S. farm products or refuses to take them. According to the website of Trump's own Department of Agriculture, the U.S. exported $11.6 billion in agricultural items to the European Union in 2016 and $11.5 billion in 2017. The EU ranked fourth for U.S. agricultural exports in 2016 and fifth in 2017.",EU doesn't accept farm products,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,European Union,Trade,Exaggeration,Farmers,Speeches,,,,
1811,6-23-2018,Speech to Nevada Republican Party,"""With the European Union, we're losing, last year, $151 billion. One hundred fifty one billion.""","The $151 billion figure counts only trade in goods and ignores trade in services, in which the U.S. has a significant surplus. Including all kinds of trade, the overall U.S. trade balance with the European Union in 2017 was a deficit of $102 billion, according to U.S. government statistics.",EU deficit 151 billion,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,European Union,Trade,Exaggeration,,Speeches,,,,
1810,6-23-2018,Speech to Nevada Republican Party,"""A steel company today announced a $500 million plant. And that's first plant that's been built in many, many years. It's a long time.""","While many U.S. steel mills have shut down since the early 1980s, it is far from true that no steel mill had opened or expanded in the 35 years before Trump imposed his steel tariffs. In 2013, Big River Steel announced an investment of more than $1 billion to build a new steel mill in Arkansas; construction began in 2014, and full-time production at the mill began in March 2017, a year before Trump's tariffs. Nucor opened a steel plate mill in North Carolina in 2000, part of a flurry of mill construction around that time. The industry publication New Steel reported in 1998 on numerous recent and upcoming mill openings: ""One wave of new-mill construction is almost over as North Star Kingman (Ariz.), North Star BHP, Trico, Ipsco, Nucor Berkeley (S.C.), and other mills have started up in the last couple of years. But another wave is beginning. Nucor, Steel Dynamics Inc. (SDI), Chaparral, and Ipsco are boosting capital spending for the minimill sector this year and next by building new plate and structurals mills. U.S. minimills' capital spending will be $1.41 billion this year, up from $1.22 billion in 1997...Chaparral will build a $400 million structurals mill in Dinwiddie County, Va. Production is scheduled to begin in mid-1999. Nucor's plate mill in Hertford County, N.C., will cost $300 million and will produce 1 million annual tons. It will begin production in 2000. Nucor will complete other large projects by that time. A new $150 million structurals mill in Berkeley County will begin production this fall. A $120 million cold mill with a 500,000-annual-ton galvanizing line and 800,000-ton cold-rolling line in Hickman, Ark., will be installed by early next year...SDI will begin building a new, $285 million structurals mill in Whitley County, Ind., late this year. Production will begin in early 2000...Ipsco, Canada's largest minimill company, is trying to increase production at its new plate mill in Montpelier, Iowa.""",No steel mills in 30 years,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Steel,Economy,,,Speeches,,,,
